name,seq
django_migrations,70
django_admin_log,10
django_content_type,18
auth_permission,76
auth_group,0
auth_user,30
chat_photo,25
chat_gamerole,7
chat_gameevent,9
chat_dialogue,16
chat_game,2
chat_match,22
chat_city,23
chat_room,29
